buildNo,shortVIN,date,extColor,intColor,trans
196,VM13814,2012-10-15,Mineral Gray,Taupe,DCT
197,VM13816,2012-10-16,Jet Black,Blk Sensatec,M6
198,VM13817,2012-10-17,Alpine White,Oyster,DCT
199,VM13820,2012-10-18,Alpine White,Blk/Blue,DCT
200,VM13822,2012-10-19,Titanium Silver,Coral,DCT
201,VM13823,2012-10-20,Carbon Black,Blk/Blue,DCT
202,VM13826,2012-10-21,Mineral Gray,Coral,DCT
203,VM13829,2012-10-22,Mineral Gray,Coral,DCT
204,VM13830,2012-10-23,Alpine White,Black,DCT
205,VM13831,2012-10-24,Carbon Black,Blk/Blue,DCT
206,VM13832,2012-10-25,Alpine White,Blk/Blue,DCT
207,VM13833,2012-10-26,Titanium Silver,Black,DCT
208,VM13837,2012-10-27,Alpine White,Coral,DCT
209,VM13840,2012-10-28,Sapphire Black,Black,DCT
210,VM13841,2012-10-29,LeMans Blue,Coral,M6
211,VM13842,2012-10-30,LeMans Blue,Blk Sensatec,DCT
212,VM13844,2012-10-31,Mineral Gray,Oyster,DCT
213,VM13846,2012-11-1,Alpine White,Beige,DCT
214,VM13850,2012-11-2,LeMans Blue,Blk/Blue,DCT
215,VM13861,2012-11-3,Alpine White,Blk/Blue,M6
216,VM13862,2012-11-4,Carbon Black,Blk/Blue,M6
217,VM13866,2012-11-5,LeMans Blue,Blk/Blue,DCT
218,VM13867,2012-11-6,LeMans Blue,Blk/Blue,M6
219,VM13868,2012-11-7,LeMans Blue,Blk/Blue,M6
220,VM13870,2012-11-8,Sapphire Black,Blk/Blue,DCT
221,VM13871,2012-11-9,Space Gray,Coral,DCT
222,VM13873,2012-11-10,Carbon Black,Coral,DCT
223,VM13876,2012-11-11,LeMans Blue,Blk/Blue,DCT
224,VM13877,2012-11-12,Mineral Gray,Coral,DCT
225,VM13878,2012-11-13,Mineral Gray,Coral,DCT
226,VM13882,2012-11-14,Deep Sea Blue,Blk/Blue,M6
227,VM13887,2012-11-15,Jet Black,Black,DCT
228,VM13888,2012-11-16,Jet Black,Black,DCT
229,VM13889,2012-11-17,Jet Black,Coral,DCT
230,VM13890,2012-11-18,LeMans Blue,Blk/Blue,M6
231,VM13891,2012-11-19,Jet Black,Black,M6
232,VM13892,2012-11-20,Jet Black,Black,M6
233,VM13896,2012-11-21,Sapphire Black,Black,DCT
234,VM13898,2012-11-22,LeMans Blue,Blk/Blue,M6
235,VU41901,2012-11-23,Alpine White,Blk/Blue,M6
236,VU41902,2012-11-24,Carbon Black,Terra,DCT
237,VU41903,2012-11-25,Carbon Black,Coral,DCT
238,VU41904,2012-11-26,Jet Black,Blk Sensatec,M6
239,VU41905,2012-11-27,Mineral Gray,Oyster,M6
240,VU41907,2012-11-28,Space Gray,Black,DCT
241,VU41908,2012-11-29,LeMans Blue,Blk/Blue,M6
242,VU41909,2012-11-30,Alpine White,Blk/Blue,M6
243,VU41916,2012-12-1,Space Gray,Black,M6
244,VU41917,2012-12-2,Blue Water,Black,M6
245,VU41918,2012-12-3,Carbon Black,Oyster,DCT
246,VU41920,2012-12-4,Carbon Black,Blk/Blue,DCT
247,VU41922,2012-12-5,Titanium Silver,Blk Sensatec,M6
248,VU41928,2012-12-6,Alpine White,Blk/Blue,M6
249,VU41932,2012-12-7,Alpine White,Beige,M6
250,VU41934,2012-12-8,Carbon Black,Blk/Blue,DCT
251,VU41935,2012-12-9,Carbon Black,Black,M6
252,VU41936,2012-12-10,Jet Black,Coral,DCT
253,VU41937,2012-12-11,Jet Black,Blk Sensatec,M6
254,VU41938,2012-12-12,Space Gray,Coral,DCT
255,VU41939,2012-12-13,Jet Black,Black,DCT
256,VU41940,2012-12-14,Alpine White,Coral,M6
257,VU41941,2012-12-15,Carbon Black,Black,M6
258,VU41942,2012-12-16,Jet Black,Black,DCT
259,VU41943,2012-12-17,LeMans Blue,Blk/Blue,M6
260,VU41948,2012-12-18,Vermillion Red,Taupe,DCT
261,VU41954,2012-12-19,Sapphire Black,Blk/Blue,DCT
262,VU41958,2012-12-20,Mineral Gray,Black,DCT
263,VU41959,2012-12-21,Alpine White,Coral,DCT
264,VU41961,2012-12-22,Sapphire Black,Blk/Blue,DCT
265,VU41963,2012-12-23,Mineral Gray,Blk/Blue,M6
266,VU41966,2012-12-24,Mineral Gray,Black,DCT
267,VU41968,2012-12-25,Alpine White,Blk/Blue,DCT
268,VU41969,2012-12-26,Deep Sea Blue,Blk/Blue,M6
269,VU41977,2012-12-27,Vermillion Red,Oyster,DCT
270,VU41978,2012-12-28,Sapphire Black,Beige Vinyl,DCT
271,VU41980,2012-12-29,LeMans Blue,Coral,M6
272,VU41983,2012-12-30,Deep Sea Blue,Beige Vinyl,DCT
273,VU41988,2012-12-31,Vermillion Red,Oyster,DCT
274,VU41991,2013-1-1,Alpine White,Terra,M6
275,VU41997,2013-1-2,Carbon Black,Blk/Blue,DCT
276,VU41999,2013-1-3,LeMans Blue,Blk/Blue,DCT
277,VY60000,2013-1-4,Alpine White,Coral,M6
278,VY60001,2013-1-5,LeMans Blue,Blk/Blue,M6
279,VY60004,2013-1-6,LeMans Blue,Blk/Blue,DCT
280,VY60006,2013-1-7,Alpine White,Blk/Blue,M6
281,VY60012,2013-1-8,Mineral Gray,Black,DCT
282,VY60017,2013-1-9,Alpine White,Coral,M6
283,VY60023,2013-1-10,Jet Black,Black,DCT
284,VY60026,2013-1-11,Carbon Black,Blk/Blue,M6
285,VY60030,2013-1-12,Carbon Black,Blk/Blue,M6
286,VY60036,2013-1-13,Sapphire Black,Black,DCT
287,VY60038,2013-1-14,Alpine White,Coral,M6
288,VY60041,2013-1-15,Carbon Black,Blk/Blue,DCT
289,VY60042,2013-1-16,Alpine White,Blk Sensatec,DCT
290,VY60043,2013-1-17,Mineral Gray,Taupe,DCT
291,VY60045,2013-1-18,Jet Black,Blk/Blue,M6
292,VY60047,2013-1-19,LeMans Blue,Blk/Blue,M6
293,VY60050,2013-1-20,LeMans Blue,Blk/Blue,M6
294,VY60051,2013-1-21,LeMans Blue,Blk/Blue,DCT
295,VY60053,2013-1-22,Space Gray,Blk/Blue,DCT
296,VY60054,2013-1-23,Mineral Gray,Blk Sensatec,DCT
297,VY60055,2013-1-24,Alpine White,Blk Sensatec,DCT
298,VY60056,2013-1-25,LeMans Blue,Taupe,M6
299,VY60057,2013-1-26,Alpine White,Beige,DCT
300,VY60058,2013-1-27,Mineral Gray,Coral,M6
301,VY60071,2013-1-28,Deep Sea Blue,Blk/Blue,DCT
302,VY60072,2013-1-29,LeMans Blue,Blk/Blue,M6
303,VY60075,2013-1-30,Carbon Black,Blk/Blue,DCT
304,VY60086,2013-1-31,Jet Black,Black,DCT
305,VY60090,2013-2-1,Space Gray,Blk/Blue,DCT
306,VY60091,2013-2-2,Alpine White,Black,DCT
307,VY60093,2013-2-3,LeMans Blue,Blk/Blue,M6
308,VY60096,2013-2-4,Space Gray,Blk/Blue,DCT
309,VY60097,2013-2-5,LeMans Blue,Blk/Blue,M6
310,VY60098,2013-2-6,LeMans Blue,Blk/Blue,M6
311,VY60102,2013-2-7,Carbon Black,Blk/Blue,DCT
312,VY60103,2013-2-8,Carbon Black,Blk/Blue,DCT
313,VY60104,2013-2-9,Carbon Black,Blk/Blue,DCT
314,VY60108,2013-2-10,Carbon Black,Coral,DCT
315,VY60114,2013-2-11,Jet Black,Blk/Blue,M6
316,VY60125,2013-2-12,Mineral Gray,Oyster,DCT
317,VY60132,2013-2-13,LeMans Blue,Beige,DCT
318,VY60133,2013-2-14,LeMans Blue,Beige,DCT
319,VY60134,2013-2-15,LeMans Blue,Blk/Blue,DCT
320,VY60135,2013-2-16,LeMans Blue,Blk/Blue,DCT
321,VY60136,2013-2-17,LeMans Blue,Oyster,DCT
322,VY60137,2013-2-18,LeMans Blue,Oyster,DCT
323,VY60141,2013-2-19,Jet Black,Coral,DCT
324,VY60147,2013-2-20,LeMans Blue,Blk/Blue,DCT
325,VY60148,2013-2-21,LeMans Blue,Blk/Blue,DCT
326,VY60155,2013-2-22,Carbon Black,Blk Sensatec,DCT
327,VY60164,2013-2-23,Alpine White,Coral,M6
328,VY60167,2013-2-24,Jet Black,Blk/Blue,M6
329,VY60170,2013-2-25,Alpine White,Blk/Blue,DCT
330,VY60172,2013-2-26,Alpine White,Black,M6
331,VY60177,2013-2-27,Jet Black,Blk/Blue,DCT
332,VY60183,2013-2-28,Jet Black,Coral,M6
333,VY60186,2013-3-1,Carbon Black,Black,M6
334,VY60188,2013-3-2,Jet Black,Black,DCT
335,VY60190,2013-3-3,Alpine White,Blk Sensatec,DCT
336,VY60193,2013-3-4,Space Gray,Blk/Blue,M6
337,VY60194,2013-3-5,LeMans Blue,Oyster,DCT
338,VY60195,2013-3-6,Jet Black,Blk/Blue,M6
339,VY60202,2013-3-7,LeMans Blue,Blk/Blue,DCT
340,VY60204,2013-3-8,Mineral Gray,Oyster,DCT
341,VY60206,2013-3-9,Mineral Gray,Beige,DCT
342,VY60207,2013-3-10,Alpine White,Blk/Blue,DCT
343,VY60208,2013-3-11,Deep Sea Blue,Taupe,DCT
344,VY60210,2013-3-12,Deep Sea Blue,Blk/Blue,DCT
345,VY60215,2013-3-13,Alpine White,Blk Sensatec,M6
346,VY60216,2013-3-14,Alpine White,Black,DCT
347,VY60219,2013-3-15,Alpine White,Blk/Blue,DCT
348,VY60222,2013-3-16,Sapphire Black,Blk/Blue,DCT
349,VY60229,2013-3-17,Alpine White,Blk/Blue,DCT
