buildNo,shortVIN,date,extColor,intColor,trans
452,VY60478,2013-6-28,LeMans Blue,Black,DCT
453,VY60481,2013-6-29,Carbon Black,Black,DCT
454,VY60484,2013-6-30,Alpine White,Blk/Blue,M6
455,VY60485,2013-7-1,Sapphire Black,Beige,DCT
456,VY60491,2013-7-2,Space Gray,Coral,DCT
457,VY60492,2013-7-3,LeMans Blue,Blk/Blue,M6
458,VY60497,2013-7-4,LeMans Blue,Black,DCT
459,VY60502,2013-7-5,Alpine White,Blk Sensatec,DCT
460,VY60504,2013-7-6,Alpine White,Blk/Blue,DCT
461,VY60506,2013-7-7,LeMans Blue,Blk/Blue,DCT
462,VY60508,2013-7-8,LeMans Blue,Blk Sensatec,M6
463,VY60510,2013-7-9,Alpine White,Blk/Blue,M6
464,VY60515,2013-7-10,Carbon Black,Blk/Blue,DCT
465,VY60522,2013-7-11,LeMans Blue,Blk/Blue,M6
466,VY60523,2013-7-12,LeMans Blue,Blk/Blue,DCT
467,VY60527,2013-7-13,Mineral Gray,Oyster,M6
468,VY60528,2013-7-14,Alpine White,Coral,DCT
469,VY60529,2013-7-15,LeMans Blue,Blk/Blue,DCT
470,VY60533,2013-7-16,Space Gray,Taupe,DCT
471,VY60534,2013-7-17,Jet Black,Black,M6
472,VY60536,2013-7-18,Jet Black,Blk Sensatec,DCT
473,VY60538,2013-7-19,LeMans Blue,Blk/Blue,M6
474,VY60540,2013-7-20,Mineral Gray,Blk/Blue,M6
475,VY60541,2013-7-21,Mineral Gray,Oyster,DCT
476,VY60542,2013-7-22,Alpine White,Blk/Blue,M6
477,VY60543,2013-7-23,LeMans Blue,Taupe,DCT
478,VY60544,2013-7-24,Carbon Black,Blk/Blue,M6
479,VY60545,2013-7-25,Alpine White,Coral,DCT
480,VY60546,2013-7-26,Alpine White,Blk/Blue,DCT
481,VY60551,2013-7-27,Mineral Gray,Black,DCT
482,VY60556,2013-7-28,Carbon Black,Blk/Blue,DCT
483,VY60565,2013-7-29,Deep Sea Blue,Blk/Blue,M6
484,VY60566,2013-7-30,Carbon Black,Blk/Blue,M6
485,VY60569,2013-7-31,Alpine White,Blk/Blue,DCT
486,VY60570,2013-8-1,Titanium Silver,Black,M6
487,VY60575,2013-8-2,Alpine White,Blk/Blue,DCT
488,VY60578,2013-8-3,Sapphire Black,Coral,M6
489,VY60581,2013-8-4,Space Gray,Coral,M6
490,VY60582,2013-8-5,Space Gray,Coral,M6
491,VY60590,2013-8-6,LeMans Blue,Blk/Blue,DCT
492,VY60592,2013-8-7,Carbon Black,Blk/Blue,M6
493,VY60597,2013-8-8,Alpine White,Coral,M6
494,VY60606,2013-8-9,Mineral Gray,Blk/Blue,DCT
495,VY60612,2013-8-10,Alpine White,Blk/Blue,DCT
