LeMans Blue,119
Carbon Black,96
Alpine White,125
Jet Black,59
Space Gray,33
Mineral Gray,68
Titanium Silver,16
Vermillion Red,12
Deep Sea Blue,21
Cashmere Silver,2
Sapphire Black,33
Blue Water,2
